username,repo_name,stars,repo_url
mrdoob,three.js,93700,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,23400,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21800,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,21100,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,17600,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,15800,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,15600,https://github.com/aframevr/aframe
FreeCAD,FreeCAD,14700,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,10800,https://github.com/CesiumGS/cesium
metafizzy,zdog,10000,https://github.com/metafizzy/zdog
isl-org,Open3D,9200,https://github.com/isl-org/Open3D
blender,blender,9100,https://github.com/blender/blender
timzhang642,3D-Machine-Learning,9000,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7400,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6600,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6400,https://github.com/FyroxEngine/Fyrox
nerfstudio-project,nerfstudio,6100,https://github.com/nerfstudio-project/nerfstudio
google,model-viewer,5800,https://github.com/google/model-viewer
openscad,openscad,5800,https://github.com/openscad/openscad
spritejs,spritejs,5200,https://github.com/spritejs/spritejs
