username,repo_name,stars,repo_url
jwasham,coding-interview-university,262000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,173000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,166000,https://github.com/CyC2018/CS-Notes
TheAlgorithms,Python,163000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,93600,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60200,https://github.com/kdn251/interviews
TheAlgorithms,Java,53000,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,51800,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,43800,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,40800,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,30200,https://github.com/halfrost/LeetCode-Go
huihut,interview,29800,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,27700,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,JavaScript,27300,https://github.com/TheAlgorithms/JavaScript
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,C-Plus-Plus,25100,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22800,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,21600,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21600,https://github.com/trekhleb/homemade-machine-learning
AtsushiSakai,PythonRobotics,19400,https://github.com/AtsushiSakai/PythonRobotics
