username,repo_name,stars,repo_url
bregman-arie,devops-exercises,54400,https://github.com/bregman-arie/devops-exercises
localstack,localstack,48000,https://github.com/localstack/localstack
serverless,serverless,45000,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,25400,https://github.com/donnemartin/data-science-ipython-notebooks
serverless-stack,sst,17200,https://github.com/serverless-stack/sst
pulumi,pulumi,16700,https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,14300,https://github.com/kubernetes-sigs/kubespray
ramitsurana,awesome-kubernetes,14100,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,14100,https://github.com/aws/aws-cli
getsops,sops,13500,https://github.com/getsops/sops
donnemartin,awesome-aws,11700,https://github.com/donnemartin/awesome-aws
caprover,caprover,10700,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,10600,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,10500,https://github.com/aws/aws-cdk
apereo,cas,10300,https://github.com/apereo/cas
aws,chalice,9900,https://github.com/aws/chalice
infracost,infracost,9400,https://github.com/infracost/infracost
aws-amplify,amplify-js,9300,https://github.com/aws-amplify/amplify-js
google,go-cloud,9100,https://github.com/google/go-cloud
aws,serverless-application-model,9100,https://github.com/aws/serverless-application-model
