username,repo_name,stars,repo_url
amphp,amp,4000,https://github.com/amphp/amp
danog,MadelineProto,2400,https://github.com/danog/MadelineProto
unreal4u,telegram-api,760,https://github.com/unreal4u/telegram-api
amphp,parallel,677,https://github.com/amphp/parallel
amphp,http-client,661,https://github.com/amphp/http-client
php-service-bus,service-bus,342,https://github.com/php-service-bus/service-bus
amphp,byte-stream,340,https://github.com/amphp/byte-stream
amphp,mysql,325,https://github.com/amphp/mysql
amphp,parallel-functions,245,https://github.com/amphp/parallel-functions
amphp,process,214,https://github.com/amphp/process
amphp,socket,194,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,182,https://github.com/xtrime-ru/TelegramRSS
amphp,redis,140,https://github.com/amphp/redis
amphp,sync,140,https://github.com/amphp/sync
amphp,dns,139,https://github.com/amphp/dns
amphp,websocket-client,124,https://github.com/amphp/websocket-client
kelunik,acme,121,https://github.com/kelunik/acme
amphp,serialization,98,https://github.com/amphp/serialization
amphp,websocket-server,94,https://github.com/amphp/websocket-server
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
