username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,104000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,89500,https://github.com/angular/angular
storybookjs,storybook,79700,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,57100,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,49400,https://github.com/ionic-team/ionic-framework
prettier,prettier,46400,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,37700,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,33300,https://github.com/SheetJS/sheetjs
angular,angular-cli,26200,https://github.com/angular/angular-cli
angular,components,23600,https://github.com/angular/components
NativeScript,NativeScript,22800,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,21900,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20800,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,19500,https://github.com/pubkey/rxdb
nrwl,nx,18600,https://github.com/nrwl/nx
sudheerj,javascript-interview-questions,17100,https://github.com/sudheerj/javascript-interview-questions
wailsapp,wails,17000,https://github.com/wailsapp/wails
teambit,bit,16900,https://github.com/teambit/bit
sweetalert2,sweetalert2,16100,https://github.com/sweetalert2/sweetalert2
jasontaylordev,CleanArchitecture,12800,https://github.com/jasontaylordev/CleanArchitecture
