username,repo_name,stars,repo_url
ansible,ansible,58200,https://github.com/ansible/ansible
bregman-arie,devops-exercises,54400,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,27500,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,23500,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23000,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,14300,https://github.com/kubernetes-sigs/kubespray
ansible,awx,12500,https://github.com/ansible/awx
easzlab,kubeasz,9300,https://github.com/easzlab/kubeasz
ansible-semaphore,semaphore,7400,https://github.com/ansible-semaphore/semaphore
geerlingguy,ansible-for-devops,7300,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7100,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,7000,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5400,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5000,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4800,https://github.com/KubeOperator/KubeOperator
netbootxyz,netboot.xyz,4500,https://github.com/netbootxyz/netboot.xyz
clong,DetectionLab,4200,https://github.com/clong/DetectionLab
ansible-community,molecule,3600,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3500,https://github.com/opendevops-cn/opendevops
dev-sec,ansible-collection-hardening,3300,https://github.com/dev-sec/ansible-collection-hardening
