username,repo_name,stars,repo_url
arendst,Tasmota,20000,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,15100,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13700,https://github.com/arduino/Arduino
tinygo-org,tinygo,13300,https://github.com/tinygo-org/tinygo
rwaldron,johnny-five,13100,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,12000,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,11100,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,8700,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8400,https://github.com/hybridgroup/gobot
platformio,platformio-core,6900,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,6200,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5900,https://github.com/tzapu/WiFiManager
olikraus,u8g2,4100,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,4000,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4000,https://github.com/Arduino-IRremote/Arduino-IRremote
hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
arduino,arduino-cli,4000,https://github.com/arduino/arduino-cli
blynkkk,blynk-library,3700,https://github.com/blynkkk/blynk-library
Serial-Studio,Serial-Studio,3500,https://github.com/Serial-Studio/Serial-Studio
NerdLang,nerd,3500,https://github.com/NerdLang/nerd
