username,repo_name,stars,repo_url
bitcoin,bitcoin,70600,https://github.com/bitcoin/bitcoin
ccxt,ccxt,28800,https://github.com/ccxt/ccxt
freqtrade,freqtrade,22500,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,18000,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,10500,https://github.com/solana-labs/solana
bbfamily,abu,10300,https://github.com/bbfamily/abu
askmike,gekko,10000,https://github.com/askmike/gekko
dvf,blockchain,7500,https://github.com/dvf/blockchain
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,7000,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6500,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,6500,https://github.com/spesmilo/electrum
butor,blackbird,5700,https://github.com/butor/blackbird
btcsuite,btcd,5400,https://github.com/btcsuite/btcd
btcpayserver,btcpayserver,5200,https://github.com/btcpayserver/btcpayserver
bitcoinjs,bitcoinjs-lib,5100,https://github.com/bitcoinjs/bitcoinjs-lib
anders94,blockchain-demo,4900,https://github.com/anders94/blockchain-demo
jesse-ai,jesse,4800,https://github.com/jesse-ai/jesse
getumbrel,umbrel,4700,https://github.com/getumbrel/umbrel
bitcoinj,bitcoinj,4600,https://github.com/bitcoinj/bitcoinj
