username,repo_name,stars,repo_url
CyC2018,CS-Notes,166000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,112000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,51800,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,48000,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,41300,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,40800,https://github.com/youngyangyang04/leetcode-master
Light-City,CPlusPlusThings,31900,https://github.com/Light-City/CPlusPlusThings
carbon-language,carbon-lang,30900,https://github.com/carbon-language/carbon-lang
yuzu-emu,yuzu,30200,https://github.com/yuzu-emu/yuzu
huihut,interview,29800,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,27700,https://github.com/CMU-Perceptual-Computing-Lab/openpose
microsoft,calculator,27500,https://github.com/microsoft/calculator
TheAlgorithms,C-Plus-Plus,25100,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,22800,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,21400,https://github.com/changkun/modern-cpp-tutorial
dragonflydb,dragonfly,20700,https://github.com/dragonflydb/dragonfly
ethereum,solidity,20600,https://github.com/ethereum/solidity
gabime,spdlog,19400,https://github.com/gabime/spdlog
microsoft,vcpkg,19300,https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,17600,https://github.com/ssloy/tinyrenderer
