username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,29200,https://github.com/CSSEGISandData/COVID-19
nytimes,covid-19-data,7000,https://github.com/nytimes/covid-19-data
covid19india,covid19india-react,6900,https://github.com/covid19india/covid19india-react
Tokyo-Metro-Gov,covid19,6300,https://github.com/Tokyo-Metro-Gov/covid19
owid,covid-19-data,5600,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2900,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2400,https://github.com/disease-sh/API
geohot,corona,2400,https://github.com/geohot/corona
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,1900,https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,1900,https://github.com/ahmadawais/corona-cli
github,covid19-dashboard,1600,https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1500,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1500,https://github.com/mhdhejazi/CoronaTracker
chandrikadeb7,Face-Mask-Detection,1500,https://github.com/chandrikadeb7/Face-Mask-Detection
neherlab,covid19_scenarios,1400,https://github.com/neherlab/covid19_scenarios
cirosantilli,china-dictatorship,1300,https://github.com/cirosantilli/china-dictatorship
chrismattmann,tika-python,1300,https://github.com/chrismattmann/tika-python
