username,repo_name,stars,repo_url
electron,electron,109000,https://github.com/electron/electron
puppeteer,puppeteer,84100,https://github.com/puppeteer/puppeteer
microsoft,playwright,53700,https://github.com/microsoft/playwright
FiloSottile,mkcert,42000,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,39500,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,24600,https://github.com/jaywcjlove/linux-command
ovity,octotree,22500,https://github.com/ovity/octotree
segment-boneyard,nightmare,19400,https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,14800,https://github.com/checkly/headless-recorder
google,WebFundamentals,13800,https://github.com/google/WebFundamentals
schickling,chromeless,13300,https://github.com/schickling/chromeless
GoogleChrome,chrome-extensions-samples,12800,https://github.com/GoogleChrome/chrome-extensions-samples
gildas-lormeau,SingleFile,11600,https://github.com/gildas-lormeau/SingleFile
casesandberg,react-color,11500,https://github.com/casesandberg/react-color
crimx,ext-saladict,11000,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,10400,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,9400,https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,8200,https://github.com/moonD4rk/HackBrowserData
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
Kenshin,simpread,7400,https://github.com/Kenshin/simpread
