username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,161000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,53600,https://github.com/junegunn/fzf
sherlock-project,sherlock,42600,https://github.com/sherlock-project/sherlock
sharkdp,bat,42300,https://github.com/sharkdp/bat
BurntSushi,ripgrep,39300,https://github.com/BurntSushi/ripgrep
google,zx,38000,https://github.com/google/zx
wagoodman,dive,37700,https://github.com/wagoodman/dive
jesseduffield,lazygit,37700,https://github.com/jesseduffield/lazygit
chubin,cheat.sh,35800,https://github.com/chubin/cheat.sh
cli,cli,32900,https://github.com/cli/cli
spf13,cobra,32800,https://github.com/spf13/cobra
n8n-io,n8n,32200,https://github.com/n8n-io/n8n
httpie,cli,28700,https://github.com/httpie/cli
sharkdp,fd,28400,https://github.com/sharkdp/fd
alebcay,awesome-shell,28100,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,27300,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27000,https://github.com/acheong08/ChatGPT
angular,angular-cli,26200,https://github.com/angular/angular-cli
tqdm,tqdm,25400,https://github.com/tqdm/tqdm
google,python-fire,25000,https://github.com/google/python-fire
